Designator,"Mid X" ,"Mid Y",Layer,Rotation
"C1",51.280000 ,62.000000,Top,0.000000
"C2",53.820000 ,82.290000,Top,0.000000
"C3",16.715000 ,61.750000,Top,0.000000
"C4",56.535000 ,26.455000,Top,90.000000
"C5",67.535000 ,26.455000,Top,90.000000
"C6",100.535000 ,26.455000,Top,90.000000
"C7",89.535000 ,26.455000,Top,90.000000
"C8",78.535000 ,26.455000,Top,90.000000
"C9",45.535000 ,26.455000,Top,90.000000
"C10",34.535000 ,26.455000,Top,90.000000
"C11",23.535000 ,26.455000,Top,90.000000
"C12",12.535000 ,26.455000,Top,90.000000
"C13",1.535000 ,26.455000,Top,90.000000
"C14",57.250000 ,65.075000,Top,180.000000
"C15",42.125000 ,104.120000,Top,180.000000
"C16",39.605000 ,101.620000,Top,180.000000
"C17",53.250000 ,95.320000,Top,0.000000
"C18",52.250000 ,96.870000,Top,0.000000
"C19",52.260000 ,106.620000,Top,0.000000
"C20",27.510000 ,114.000000,Top,180.000000
"C21",73.990000 ,102.500000,Top,0.000000
"C22",55.000000 ,80.620000,Top,180.000000
"C23",87.610000 ,16.000000,Top,90.000000
"C24",42.125000 ,105.620000,Top,180.000000
"C25",88.275000 ,48.000000,Top,90.000000
"C26",75.275000 ,48.000000,Top,90.000000
"C27",62.275000 ,48.000000,Top,90.000000
"C28",49.275000 ,48.000000,Top,90.000000
"C29",55.880000 ,50.000000,Top,270.000000
"C30",96.000000 ,50.000000,Top,270.000000
"C31",0.000000 ,30.000000,Top,270.000000
"D1",15.460000 ,111.000000,Top,270.000000
"IC1",88.000000 ,38.000000,Top,270.000000
"IC2",75.000000 ,38.000000,Top,270.000000
"IC3",62.000000 ,38.000000,Top,270.000000
"IC4",49.000000 ,38.000000,Top,270.000000
"J1",103.910000 ,115.140000,Top,0.000000
"J2",104.140000 ,2.540000,Top,0.000000
"J3",48.230000 ,112.330000,Top,180.000000
"J4",86.210000 ,106.250000,Top,270.000000
"JAB1",15.240000 ,55.000000,Top,90.000000
"JCD1",15.240000 ,86.750000,Top,90.000000
"R1",15.460000 ,107.000000,Top,90.000000
"R2",26.997500 ,110.000000,Top,180.000000
"R3",61.000000 ,96.500000,Top,90.000000
"R4",64.500000 ,96.500000,Top,90.000000
"R5",67.500000 ,94.000000,Top,90.000000
"R6",69.500000 ,94.000000,Top,90.000000
"R7",59.500000 ,96.500000,Top,270.000000
"R8",63.000000 ,96.500000,Top,270.000000
"R9",66.000000 ,94.000000,Top,270.000000
"R10",71.000000 ,94.000000,Top,270.000000
"R11",87.610000 ,23.750000,Top,90.000000
"R12",64.750000 ,48.750000,Top,0.000000
"R13",90.000000 ,47.520000,Top,0.000000
"R14",94.000000 ,111.815000,Top,90.000000
"R15",96.000000 ,111.815000,Top,90.000000
"R16",77.000000 ,47.520000,Top,0.000000
"R17",64.000000 ,47.520000,Top,0.000000
"R18",51.000000 ,47.520000,Top,0.000000
"S1",95.000000 ,115.500000,Top,180.000000
"U1",59.460000 ,20.000000,Top,90.000000
"U2",70.460000 ,20.000000,Top,90.000000
"U3",103.460000 ,20.000000,Top,90.000000
"U4",92.460000 ,20.000000,Top,90.000000
"U5",81.460000 ,20.000000,Top,90.000000
"U6",48.460000 ,20.000000,Top,90.000000
"U7",37.460000 ,20.000000,Top,90.000000
"U8",26.460000 ,20.000000,Top,90.000000
"U9",15.460000 ,20.000000,Top,90.000000
"U10",4.460000 ,20.000000,Top,90.000000
"U11",63.460000 ,68.000000,Top,180.000000
"U12",46.555000 ,98.190000,Top,90.000000
"U13",60.750000 ,77.750000,Top,90.000000
"U14",86.960000 ,20.000000,Top,270.000000
